variavel;n_missing;pct_missing
cigarettes_per_day.exposures;228;39.11
pack_years_smoked.exposures;228;39.11
age_at_earliest_diagnosis_in_years.diagnoses.xena_derived;94;16.12
age_at_index.demographic;82;14.07
ajcc_pathologic_stage.diagnoses;71;12.18
ajcc_pathologic_m.diagnoses;67;11.49
ajcc_pathologic_n.diagnoses;64;10.98
ajcc_pathologic_t.diagnoses;63;10.81
treatment_or_therapy.treatments.diagnoses;63;10.81
prior_treatment.diagnoses;63;10.81
primary_diagnosis.diagnoses;63;10.81
gender.demographic;63;10.81
treatment_type.treatments.diagnoses;63;10.81
vital_status.demographic;63;10.81
prior_malignancy.diagnoses;63;10.81
icd_10_code.diagnoses;63;10.81
morphology.diagnoses;63;10.81
site_of_resection_or_biopsy.diagnoses;63;10.81
tissue_or_organ_of_origin.diagnoses;63;10.81
sample_id.samples;0;0.0
patient_id;0;0.0
submitter_id;0;0.0
case_id;0;0.0
