gene;n;coef;HR;se;z;p;ci95_inf;ci95_sup;status;q_value;efeito
DKK1;502;0.39238861533693836;1.4805129496606182;0.07297201637606343;5.3772478111986395;7.563304192199727e-08;1.283211719814864;1.7081503856815023;ok;3.1765877607238857e-06;alto_risco
HMMR;502;0.3281568272098791;1.3884066951647107;0.07703229284651551;4.259990389533407;2.0443569374606982e-05;1.1938415578942758;1.614680891640484;ok;0.0004293149568667467;alto_risco
CHEK1;502;0.3077276315376892;1.3603304273680616;0.07398562369031657;4.159289550977528;3.192390004724585e-05;1.1767053695805119;1.5726102042714944;ok;0.00044693460066144193;alto_risco
CCR6;502;-0.27587030957116265;0.7589113479173828;0.07384421664576023;-3.735841777488769;0.00018708828196293642;0.656651190039693;0.8770964596332557;ok;0.0017030457632255496;protetor
CDK1;502;0.2733978426401427;1.3144230743620702;0.07358160544954206;3.715573219282676;0.00020274354324113686;1.1378955481497153;1.518336213921208;ok;0.0017030457632255496;alto_risco
GPI;502;0.23798723482776665;1.2686929976369177;0.06945981976177712;3.426257592432281;0.0006119597233889115;1.1072157044598772;1.4537202785053844;ok;0.004283718063722381;alto_risco
BTK;502;-0.20672851667652548;0.8132404012279841;0.06512728271067139;-3.1742229688119954;0.0015023823138217254;0.7157848505752915;0.9239647216030119;ok;0.009014293882930353;protetor
SEMA3C;502;0.23104149160488216;1.2599115141154742;0.07540561190336642;3.0639827165777236;0.00218411527853322;1.0868126172474348;1.4605802308599332;ok;0.011466605212299405;alto_risco
SEMA4B;502;0.21742703005475275;1.2428747336974701;0.07210991584614278;3.0152168048381256;0.0025679562306735316;1.079064208660052;1.4315529986688782;ok;0.011983795743143148;alto_risco
AKR1A1;502;-0.22187838873694732;0.8010127705864428;0.07483332745249074;-2.9649675657922696;0.003027148430273989;0.6917373029954578;0.9275507564275197;ok;0.012714023407150755;protetor
DDIT4;502;0.21905822774002748;1.2449037625098105;0.07641327683127747;2.866756103441472;0.004147024713329327;1.0717479965946934;1.4460352460049155;ok;0.0158340943599847;alto_risco
PPIA;502;0.18796053759854156;1.2067858917406062;0.068253922521149;2.7538422797649553;0.005890014507002913;1.0556802096532367;1.3795202137800207;ok;0.019288251185284447;alto_risco
KRAS;502;0.19975945024800293;1.221108985364509;0.07268170779560826;2.7484143714640847;0.005988427447655259;1.0589797245954282;1.4080601540389284;ok;0.019288251185284447;alto_risco
S100A10;502;0.23058028905629235;1.2593305736900664;0.0846154532431315;2.7250375696003175;0.006429417061761482;1.0668784498500745;1.486498760991391;ok;0.019288251185284447;alto_risco
PIM2;502;-0.19762937607042746;0.820673958187327;0.07555550190271311;-2.6156847760061113;0.008904872522653734;0.7077138464747726;0.9516639373408988;ok;0.024933643063430454;protetor
PSME3;502;0.17583929996219902;1.1922464492058038;0.06792698802181059;2.588651507788613;0.009635255039383908;1.0436298219021372;1.362026616921588;ok;0.02529254447838276;alto_risco
CCL20;502;0.18975650426565446;1.2089551863838621;0.07425265491953399;2.5555517775261976;0.010601958661336694;1.0452164308848708;1.3983444954525686;ok;0.025352266066307423;alto_risco
IKBKB;502;-0.19945779413630574;0.819174794063022;0.07844635369011081;-2.5426012141269223;0.011003072850416585;0.702429792628465;0.9553230091752819;ok;0.025352266066307423;protetor
MIF;502;0.1849399988318035;1.2031462477815265;0.07315438387111742;2.528078141668567;0.011468882268091453;1.0424357489962064;1.3886332034800872;ok;0.025352266066307423;alto_risco
FGFR2;502;-0.18422812876826244;0.8317460369829325;0.0737025572273384;-2.4996165085561906;0.01243278100433905;0.7198715493975643;0.9610068221417536;ok;0.025469110526874103;protetor
LTBR;502;0.1873228935787486;1.2060166372149057;0.07519662928175441;2.49110758511353;0.012734555263437052;1.0407485443401614;1.3975288624220878;ok;0.025469110526874103;alto_risco
MET;502;0.16476170171339502;1.1791121048358604;0.07717160933758134;2.1350040918889936;0.032760675883433864;1.0135997737218818;1.371651209693279;ok;0.06254310850473738;alto_risco
AGRN;502;0.15859968654514345;1.1718687379485726;0.07912432920387971;2.0044364121745604;0.04502333209697847;1.0035250494291565;1.368452476360558;ok;0.08221651948143895;alto_risco
SCG2;502;0.11941605702626844;1.1268386499098149;0.06426356320268851;1.8582234017996777;0.06313729609524271;0.993483115234496;1.2780945377525275;ok;0.10840884891813954;alto_risco
TNFRSF11A;502;0.151160965396793;1.1631838753677055;0.0817746377624556;1.848506695143003;0.06452907673698782;0.9909270305856263;1.3653848226501892;ok;0.10840884891813954;alto_risco
