modelo_1;modelo_2;dif_media_cindex;ic95_inf;ic95_sup;n_folds;interpretacao
CoxPH;DeepHit;0.0677594833884321;-0.04084026257806961;0.1763592293549338;5;empate tecnico
CoxPH;DeepSurv;0.16309326952384168;0.01298178975906314;0.3132047492886202;5;diferenca com IC 95% sem zero
CoxPH;GBSA;0.003403830331220337;-0.055963409013826064;0.06277106967626674;5;empate tecnico
CoxPH;RSF;0.015391415056311874;-0.006830507158237013;0.03761333727086076;5;empate tecnico
CoxPH;Weibull AFT;-0.00160489641050936;-0.009724423038079971;0.0065146302170612505;5;empate tecnico
DeepHit;DeepSurv;0.09533378613540958;-0.05242773343381929;0.24309530570463844;5;empate tecnico
DeepHit;GBSA;-0.06435565305721176;-0.17532260820766843;0.04661130209324489;5;empate tecnico
DeepHit;RSF;-0.052368068332120224;-0.15297072516445312;0.04823458850021267;5;empate tecnico
DeepHit;Weibull AFT;-0.06936437979894146;-0.17896996555135905;0.040241205953476133;5;empate tecnico
DeepSurv;GBSA;-0.15968943919262135;-0.34984724713792503;0.030468368752682357;5;empate tecnico
DeepSurv;RSF;-0.1477018544675298;-0.30449436744673775;0.009090658511678174;5;empate tecnico
DeepSurv;Weibull AFT;-0.16469816593435102;-0.3220489032002446;-0.0073474286684574175;5;diferenca com IC 95% sem zero
GBSA;RSF;0.011987584725091538;-0.03171513013685884;0.055690299587041914;5;empate tecnico
GBSA;Weibull AFT;-0.0050087267417296966;-0.0610436127149952;0.051026159231535806;5;empate tecnico
RSF;Weibull AFT;-0.016996311466821235;-0.03768893987528908;0.0036963169416466095;5;empate tecnico
