coorte;modelo;fold;c_index_train;c_index_test;gap;n_genes_fold;genes_fold;hiperparametros_fold;n_baixa_variancia;n_clin_baixa_variancia;n_colinearidade;n_clin_colinearidade
LUAD;CoxPH;1;0.7234637769703206;0.7557100297914597;-0.03224625282113913;19;DKK1, CHEK1, HMMR, CDK1, CCR6, BTK, DDIT4, PSME3, KRAS, AKR1A1, GPI, LTBR, SEMA3C, PIM2, S100A10, PPIA, MET, SEMA4B, PIK3CA;penalizer=10.0;19;19;14;14
LUAD;CoxPH;2;0.7486274891985837;0.6511292647765498;0.09749822442203393;23;DKK1, HMMR, CHEK1, CDK1, GPI, S100A10, CCR6, SEMA3C, SEMA4B, DDIT4, IKBKB, PPIA, BTK, AKR1A1, PSME3, PIM2, FGFR2, MIF, MET, CCL20, RBM10, KRAS, AGRN;penalizer=10.0;20;20;14;14
LUAD;CoxPH;3;0.7569602632245002;0.7282377919320594;0.028722471292440765;25;DKK1, SEMA4B, CCR6, HMMR, CHEK1, SEMA3C, GPI, KRAS, SCG2, CDK1, BTK, CCL20, DDIT4, PPIA, AKR1A1, S100A10, PIM2, TNFRSF11A, FGFR2, IKBKB, MIF, MET, PSME3, RB1, EGFR;penalizer=1.0;18;18;15;15
LUAD;CoxPH;4;0.7388376703061578;0.7021739130434783;0.03666375726267945;22;DKK1, HMMR, CCR6, CDK1, CHEK1, AKR1A1, BTK, GPI, SEMA3C, PSME3, DDIT4, PIM2, KRAS, PIK3CA, PPIA, SEMA4B, IKBKB, FGFR2, CCL20, S100A10, MIF, AGRN;penalizer=10.0;17;17;17;17
LUAD;CoxPH;5;0.7307606513495427;0.6882716049382716;0.04248904641127116;17;DKK1, CHEK1, HMMR, CDK1, CCR6, GPI, LTBR, BTK, MIF, CCL20, IKBKB, FGFR2, PPIA, SEMA4B, AKR1A1, S100A10, KRAS;penalizer=10.0;17;17;16;16
LUAD;DeepHit;1;0.5901475931701984;0.6067527308838133;-0.016605137713614937;19;DKK1, CHEK1, HMMR, CDK1, CCR6, BTK, DDIT4, PSME3, KRAS, AKR1A1, GPI, LTBR, SEMA3C, PIM2, S100A10, PPIA, MET, SEMA4B, PIK3CA;"lr=0.001; batch_size=32; epochs=200; num_nodes=[32, 16]; dropout=0.1; batch_norm=False; alpha=0.5; sigma=0.1; num_durations=30; early_stopping_patience=10";19;19;14;14
LUAD;DeepHit;2;0.61277328395543;0.5862566074002883;0.02651667655514167;23;DKK1, HMMR, CHEK1, CDK1, GPI, S100A10, CCR6, SEMA3C, SEMA4B, DDIT4, IKBKB, PPIA, BTK, AKR1A1, PSME3, PIM2, FGFR2, MIF, MET, CCL20, RBM10, KRAS, AGRN;"lr=0.001; batch_size=32; epochs=200; num_nodes=[32, 16]; dropout=0.1; batch_norm=False; alpha=0.5; sigma=0.1; num_durations=30; early_stopping_patience=10";20;20;14;14
LUAD;DeepHit;3;0.6239875980764363;0.6029723991507431;0.021015198925693257;25;DKK1, SEMA4B, CCR6, HMMR, CHEK1, SEMA3C, GPI, KRAS, SCG2, CDK1, BTK, CCL20, DDIT4, PPIA, AKR1A1, S100A10, PIM2, TNFRSF11A, FGFR2, IKBKB, MIF, MET, PSME3, RB1, EGFR;"lr=0.001; batch_size=32; epochs=200; num_nodes=[32, 16]; dropout=0.1; batch_norm=False; alpha=0.5; sigma=0.1; num_durations=30; early_stopping_patience=10";18;18;15;15
LUAD;DeepHit;4;0.6696139202668261;0.6320652173913044;0.0375487028755217;22;DKK1, HMMR, CCR6, CDK1, CHEK1, AKR1A1, BTK, GPI, SEMA3C, PSME3, DDIT4, PIM2, KRAS, PIK3CA, PPIA, SEMA4B, IKBKB, FGFR2, CCL20, S100A10, MIF, AGRN;"lr=0.001; batch_size=32; epochs=200; num_nodes=[32, 16]; dropout=0.1; batch_norm=False; alpha=0.5; sigma=0.1; num_durations=30; early_stopping_patience=10";17;17;17;17
LUAD;DeepHit;5;0.5419202702272076;0.470679012345679;0.07124125788152857;17;DKK1, CHEK1, HMMR, CDK1, CCR6, GPI, LTBR, BTK, MIF, CCL20, IKBKB, FGFR2, PPIA, SEMA4B, AKR1A1, S100A10, KRAS;"lr=0.001; batch_size=32; epochs=200; num_nodes=[32, 16]; dropout=0.1; batch_norm=False; alpha=0.5; sigma=0.1; num_durations=30; early_stopping_patience=10";17;17;16;16
