coorte;modelo_1;modelo_2;dif_media_cindex;ic95_inf;ic95_sup;n_folds;interpretacao
LUSC;CoxPH;DeepHit;0.08560368316401329;0.007405785414037885;0.1638015809139887;5;diferenca com IC 95% sem zero
LUSC;CoxPH;DeepSurv;0.027028815668274853;-0.041269601527283706;0.0953272328638334;5;empate tecnico
LUSC;CoxPH;GBSA;0.03926531331551679;-0.018586934003660488;0.09711756063469407;5;empate tecnico
LUSC;CoxPH;RSF;0.010850189513574637;-0.022387890995979064;0.04408827002312834;5;empate tecnico
LUSC;CoxPH;Weibull AFT;-0.003882667693068831;-0.01977753794192011;0.012012202555782447;5;empate tecnico
LUSC;DeepHit;DeepSurv;-0.05857486749573844;-0.16639425654330003;0.04924452155182314;5;empate tecnico
LUSC;DeepHit;GBSA;-0.0463383698484965;-0.10146803437184304;0.008791294674850035;5;empate tecnico
LUSC;DeepHit;RSF;-0.07475349365043865;-0.14091029240676162;-0.008596694894115672;5;diferenca com IC 95% sem zero
LUSC;DeepHit;Weibull AFT;-0.08948635085708212;-0.17313629847223588;-0.005836403241928342;5;diferenca com IC 95% sem zero
LUSC;DeepSurv;GBSA;0.01223649764724194;-0.08754037667668307;0.11201337197116695;5;empate tecnico
LUSC;DeepSurv;RSF;-0.016178626154700216;-0.07940841348694927;0.047051161177548845;5;empate tecnico
LUSC;DeepSurv;Weibull AFT;-0.030911483361343684;-0.0941471707396241;0.03232420401693674;5;empate tecnico
LUSC;GBSA;RSF;-0.028415123801942156;-0.06903168402219201;0.0122014364183077;5;empate tecnico
LUSC;GBSA;Weibull AFT;-0.04314798100858562;-0.10366960736382624;0.017373645346654996;5;empate tecnico
LUSC;RSF;Weibull AFT;-0.014732857206643468;-0.04302342892125939;0.01355771450797245;5;empate tecnico
