coorte;modelo;fold;c_index_train;c_index_test;gap;n_genes_fold;genes_fold;hiperparametros_fold;n_baixa_variancia;n_clin_baixa_variancia;n_colinearidade;n_clin_colinearidade
LUSC;CoxPH;1;0.7221963958544122;0.5866477272727273;0.1355486685816849;13;ZFP42, NRTN, ALDH7A1, OTX2, F13A1, MDH1, GCGR, GAGE2A, FGF4, HKDC1, ACVRL1, ZNF71, SEMA3B;penalizer=0.1;4;4;2;2
LUSC;CoxPH;2;0.6999546202280333;0.6477883422902025;0.052166277937830796;11;ZFP42, NRTN, ALDH7A1, F13A1, HKDC1, OTX2, GCGR, ACVRL1, SLC39A8, NPY, FGF4;penalizer=0.1;3;3;2;2
LUSC;CoxPH;3;0.7157709889619801;0.49845474613686536;0.21731624282511475;20;ZFP42, ALDH7A1, ZNF71, ACVRL1, HKDC1, SEMA3B, SLC39A8, GCGR, F13A1, NRTN, NR4A1, TP63, OTX2, KLRC2, FGF4, FGL1, ENG, SOX2, MDH1, CALCB;penalizer=1.0;2;2;2;2
LUSC;CoxPH;4;0.6854395217011197;0.6022968949383242;0.08314262676279549;12;HKDC1, ALDH7A1, SEMA3B, MDH1, GCGR, FGF4, F13A1, ACVRL1, ZFP42, OTX2, SOX2, KLRC2;penalizer=10.0;5;5;2;2
LUSC;CoxPH;5;0.6731323793459927;0.703905091448344;-0.03077271210235133;9;HKDC1, ZFP42, OTX2, ALDH7A1, GAGE2A, GCGR, MDH1, SOX2, NRTN;penalizer=10.0;9;9;1;1
LUSC;DeepHit;1;0.6255845114714649;0.45075757575757575;0.17482693571388913;13;ZFP42, NRTN, ALDH7A1, OTX2, F13A1, MDH1, GCGR, GAGE2A, FGF4, HKDC1, ACVRL1, ZNF71, SEMA3B;"lr=0.001; batch_size=32; epochs=200; num_nodes=[32, 16]; dropout=0.1; batch_norm=False; alpha=0.5; sigma=0.1; num_durations=30; early_stopping_patience=10";4;4;2;2
LUSC;DeepHit;2;0.5286176186964661;0.5320380322447292;-0.003420413548263168;11;ZFP42, NRTN, ALDH7A1, F13A1, HKDC1, OTX2, GCGR, ACVRL1, SLC39A8, NPY, FGF4;"lr=0.001; batch_size=32; epochs=200; num_nodes=[32, 16]; dropout=0.1; batch_norm=False; alpha=0.5; sigma=0.1; num_durations=30; early_stopping_patience=10";3;3;2;2
LUSC;DeepHit;3;0.5650295462147397;0.5205298013245033;0.04449974489023634;20;ZFP42, ALDH7A1, ZNF71, ACVRL1, HKDC1, SEMA3B, SLC39A8, GCGR, F13A1, NRTN, NR4A1, TP63, OTX2, KLRC2, FGF4, FGL1, ENG, SOX2, MDH1, CALCB;"lr=0.001; batch_size=32; epochs=200; num_nodes=[32, 16]; dropout=0.1; batch_norm=False; alpha=0.5; sigma=0.1; num_durations=30; early_stopping_patience=10";2;2;2;2
LUSC;DeepHit;4;0.5905129868298599;0.4878774989366227;0.10263548789323718;12;HKDC1, ALDH7A1, SEMA3B, MDH1, GCGR, FGF4, F13A1, ACVRL1, ZFP42, OTX2, SOX2, KLRC2;"lr=0.001; batch_size=32; epochs=200; num_nodes=[32, 16]; dropout=0.1; batch_norm=False; alpha=0.5; sigma=0.1; num_durations=30; early_stopping_patience=10";5;5;2;2
LUSC;DeepHit;5;0.5567223461559389;0.6198714780029659;-0.06314913184702708;9;HKDC1, ZFP42, OTX2, ALDH7A1, GAGE2A, GCGR, MDH1, SOX2, NRTN;"lr=0.001; batch_size=32; epochs=200; num_nodes=[32, 16]; dropout=0.1; batch_norm=False; alpha=0.5; sigma=0.1; num_durations=30; early_stopping_patience=10";9;9;1;1
LUSC;DeepSurv;1;0.7535617599606224;0.6197916666666666;0.13377009329395573;13;ZFP42, NRTN, ALDH7A1, OTX2, F13A1, MDH1, GCGR, GAGE2A, FGF4, HKDC1, ACVRL1, ZNF71, SEMA3B;"lr=0.001; batch_size=32; epochs=100; num_nodes=[16, 8]; dropout=0.1; batch_norm=False; early_stopping_patience=10";4;4;2;2
LUSC;DeepSurv;2;0.6837029893924783;0.61099627945432;0.07270670993815831;11;ZFP42, NRTN, ALDH7A1, F13A1, HKDC1, OTX2, GCGR, ACVRL1, SLC39A8, NPY, FGF4;"lr=0.001; batch_size=32; epochs=100; num_nodes=[16, 8]; dropout=0.1; batch_norm=False; early_stopping_patience=10";3;3;2;2
LUSC;DeepSurv;3;0.7478537183632512;0.4922737306843267;0.2555799876789245;20;ZFP42, ALDH7A1, ZNF71, ACVRL1, HKDC1, SEMA3B, SLC39A8, GCGR, F13A1, NRTN, NR4A1, TP63, OTX2, KLRC2, FGF4, FGL1, ENG, SOX2, MDH1, CALCB;"lr=0.001; batch_size=32; epochs=100; num_nodes=[16, 8]; dropout=0.1; batch_norm=False; early_stopping_patience=10";2;2;2;2
LUSC;DeepSurv;4;0.7516004399447249;0.5916631220757125;0.15993731786901244;12;HKDC1, ALDH7A1, SEMA3B, MDH1, GCGR, FGF4, F13A1, ACVRL1, ZFP42, OTX2, SOX2, KLRC2;"lr=0.001; batch_size=32; epochs=100; num_nodes=[16, 8]; dropout=0.1; batch_norm=False; early_stopping_patience=10";5;5;2;2
LUSC;DeepSurv;5;0.6635562326568366;0.5892239248640633;0.07433230779277333;9;HKDC1, ZFP42, OTX2, ALDH7A1, GAGE2A, GCGR, MDH1, SOX2, NRTN;"lr=0.001; batch_size=32; epochs=100; num_nodes=[16, 8]; dropout=0.1; batch_norm=False; early_stopping_patience=10";9;9;1;1
LUSC;GBSA;1;0.7596324755940824;0.5269886363636364;0.23264383923044607;13;ZFP42, NRTN, ALDH7A1, OTX2, F13A1, MDH1, GCGR, GAGE2A, FGF4, HKDC1, ACVRL1, ZNF71, SEMA3B;"n_estimators=150; learning_rate=0.02; max_depth=2; subsample=0.7";4;4;2;2
LUSC;GBSA;2;0.6761586023030234;0.5407193054981397;0.13543929680488365;11;ZFP42, NRTN, ALDH7A1, F13A1, HKDC1, OTX2, GCGR, ACVRL1, SLC39A8, NPY, FGF4;"n_estimators=150; learning_rate=0.02; max_depth=1; subsample=0.7";3;3;2;2
LUSC;GBSA;3;0.7733582339168246;0.5086092715231788;0.26474896239364576;20;ZFP42, ALDH7A1, ZNF71, ACVRL1, HKDC1, SEMA3B, SLC39A8, GCGR, F13A1, NRTN, NR4A1, TP63, OTX2, KLRC2, FGF4, FGL1, ENG, SOX2, MDH1, CALCB;"n_estimators=150; learning_rate=0.02; max_depth=2; subsample=0.7";2;2;2;2
LUSC;GBSA;4;0.6698581460278068;0.5669927690344534;0.10286537699335341;12;HKDC1, ALDH7A1, SEMA3B, MDH1, GCGR, FGF4, F13A1, ACVRL1, ZFP42, OTX2, SOX2, KLRC2;"n_estimators=100; learning_rate=0.01; max_depth=1; subsample=0.7";5;5;2;2
LUSC;GBSA;5;0.7318678927036292;0.6994562530894711;0.03241163961415805;9;HKDC1, ZFP42, OTX2, ALDH7A1, GAGE2A, GCGR, MDH1, SOX2, NRTN;"n_estimators=150; learning_rate=0.01; max_depth=2; subsample=0.7";9;9;1;1
LUSC;RSF;1;0.8212146900380103;0.5946969696969697;0.22651772034104056;13;ZFP42, NRTN, ALDH7A1, OTX2, F13A1, MDH1, GCGR, GAGE2A, FGF4, HKDC1, ACVRL1, ZNF71, SEMA3B;"n_estimators=100; min_samples_split=25; min_samples_leaf=10; max_features=5";4;4;2;2
LUSC;RSF;2;0.7561404503942367;0.5977676725919802;0.15837277780225656;11;ZFP42, NRTN, ALDH7A1, F13A1, HKDC1, OTX2, GCGR, ACVRL1, SLC39A8, NPY, FGF4;"n_estimators=200; min_samples_split=25; min_samples_leaf=20; max_features=sqrt";3;3;2;2
LUSC;RSF;3;0.7802151856394247;0.5178807947019868;0.26233439093743793;20;ZFP42, ALDH7A1, ZNF71, ACVRL1, HKDC1, SEMA3B, SLC39A8, GCGR, F13A1, NRTN, NR4A1, TP63, OTX2, KLRC2, FGF4, FGL1, ENG, SOX2, MDH1, CALCB;"n_estimators=200; min_samples_split=25; min_samples_leaf=20; max_features=sqrt";2;2;2;2
LUSC;RSF;4;0.7741053047181251;0.5844321565291365;0.18967314818898862;12;HKDC1, ALDH7A1, SEMA3B, MDH1, GCGR, FGF4, F13A1, ACVRL1, ZFP42, OTX2, SOX2, KLRC2;"n_estimators=200; min_samples_split=25; min_samples_leaf=20; max_features=sqrt";5;5;2;2
