coorte;modelo;fold_externo;fold_interno;parametros;c_index_validacao_interna;n_genes_inner
LUSC;CoxPH;1;1;penalizer=0.1;0.577037773359841;13
LUSC;CoxPH;1;2;penalizer=0.1;0.6703379224030037;8
LUSC;CoxPH;1;3;penalizer=0.1;0.5918269230769231;9
LUSC;CoxPH;1;1;penalizer=1.0;0.5752982107355865;13
LUSC;CoxPH;1;2;penalizer=1.0;0.6635794743429286;8
LUSC;CoxPH;1;3;penalizer=1.0;0.5944711538461539;9
LUSC;CoxPH;1;1;penalizer=10.0;0.5728131212723658;13
LUSC;CoxPH;1;2;penalizer=10.0;0.6623279098873592;8
LUSC;CoxPH;1;3;penalizer=10.0;0.5915865384615384;9
LUSC;CoxPH;2;1;penalizer=0.1;0.5801397927211376;8
LUSC;CoxPH;2;2;penalizer=0.1;0.5409139213602551;13
LUSC;CoxPH;2;3;penalizer=0.1;0.5968971864317644;3
LUSC;CoxPH;2;1;penalizer=1.0;0.5880935165100024;8
LUSC;CoxPH;2;2;penalizer=1.0;0.5478214665249734;13
LUSC;CoxPH;2;3;penalizer=1.0;0.5782277149618722;3
LUSC;CoxPH;2;1;penalizer=10.0;0.5859243191130393;8
LUSC;CoxPH;2;2;penalizer=10.0;0.5430393198724761;13
LUSC;CoxPH;2;3;penalizer=10.0;0.5845385222193006;3
LUSC;CoxPH;3;1;penalizer=0.1;0.6428402925218212;7
LUSC;CoxPH;3;2;penalizer=0.1;0.6009507130347761;12
LUSC;CoxPH;3;3;penalizer=0.1;0.5950413223140496;15
LUSC;CoxPH;3;1;penalizer=1.0;0.6602972399150743;7
LUSC;CoxPH;3;2;penalizer=1.0;0.6162121591193395;12
LUSC;CoxPH;3;3;penalizer=1.0;0.6068870523415978;15
LUSC;CoxPH;3;1;penalizer=10.0;0.6607690493040812;7
LUSC;CoxPH;3;2;penalizer=10.0;0.6144608456342256;12
LUSC;CoxPH;3;3;penalizer=10.0;0.6060606060606061;15
LUSC;CoxPH;4;1;penalizer=0.1;0.6267769449470147;8
LUSC;CoxPH;4;2;penalizer=0.1;0.5660146699266504;4
LUSC;CoxPH;4;3;penalizer=0.1;0.592077649527807;9
LUSC;CoxPH;4;1;penalizer=1.0;0.6469371930731456;8
LUSC;CoxPH;4;2;penalizer=1.0;0.5916870415647921;4
LUSC;CoxPH;4;3;penalizer=1.0;0.6049317943336832;9
LUSC;CoxPH;4;1;penalizer=10.0;0.6495218402688033;8
LUSC;CoxPH;4;2;penalizer=10.0;0.5899755501222493;4
LUSC;CoxPH;4;3;penalizer=10.0;0.6151626442812173;9
LUSC;CoxPH;5;1;penalizer=0.1;0.5747955747955747;9
LUSC;CoxPH;5;2;penalizer=0.1;0.5562001450326324;2
LUSC;CoxPH;5;3;penalizer=0.1;0.5017939518195798;4
LUSC;CoxPH;5;1;penalizer=1.0;0.5885040885040885;9
LUSC;CoxPH;5;2;penalizer=1.0;0.5605511240029006;2
LUSC;CoxPH;5;3;penalizer=1.0;0.5369041517170682;4
LUSC;CoxPH;5;1;penalizer=10.0;0.5832130832130832;9
LUSC;CoxPH;5;2;penalizer=10.0;0.5605511240029006;2
LUSC;CoxPH;5;3;penalizer=10.0;0.5476678626345464;4
LUSC;Weibull AFT;1;1;penalizer=0.1;0.5735586481113321;13
LUSC;Weibull AFT;1;2;penalizer=0.1;0.6683354192740926;8
LUSC;Weibull AFT;1;3;penalizer=0.1;0.5862980769230769;9
LUSC;Weibull AFT;1;1;penalizer=1.0;0.5710735586481114;13
LUSC;Weibull AFT;1;2;penalizer=1.0;0.662828535669587;8
LUSC;Weibull AFT;1;3;penalizer=1.0;0.5975961538461538;9
LUSC;Weibull AFT;1;1;penalizer=10.0;0.569831013916501;13
LUSC;Weibull AFT;1;2;penalizer=10.0;0.6610763454317897;8
LUSC;Weibull AFT;1;3;penalizer=10.0;0.5942307692307692;9
LUSC;Weibull AFT;2;1;penalizer=0.1;0.5825500120510967;8
LUSC;Weibull AFT;2;2;penalizer=0.1;0.5454303931987248;13
LUSC;Weibull AFT;2;3;penalizer=0.1;0.5929529318958717;3
LUSC;Weibull AFT;2;1;penalizer=1.0;0.5852012533140516;8
LUSC;Weibull AFT;2;2;penalizer=1.0;0.5494155154091392;13
LUSC;Weibull AFT;2;3;penalizer=1.0;0.5798054167762293;3
LUSC;Weibull AFT;2;1;penalizer=10.0;0.5852012533140516;8
LUSC;Weibull AFT;2;2;penalizer=10.0;0.5475557917109458;13
LUSC;Weibull AFT;2;3;penalizer=10.0;0.5805942676834078;3
LUSC;Weibull AFT;3;1;penalizer=0.1;0.637650389242746;7
LUSC;Weibull AFT;3;2;penalizer=0.1;0.5946960220165124;12
LUSC;Weibull AFT;3;3;penalizer=0.1;0.5955922865013774;15
LUSC;Weibull AFT;3;1;penalizer=1.0;0.6598254305260675;7
LUSC;Weibull AFT;3;2;penalizer=1.0;0.6164623467600701;12
LUSC;Weibull AFT;3;3;penalizer=1.0;0.6074380165289256;15
LUSC;Weibull AFT;3;1;penalizer=10.0;0.6645435244161358;7
LUSC;Weibull AFT;3;2;penalizer=10.0;0.613710282712034;12
LUSC;Weibull AFT;3;3;penalizer=10.0;0.6066115702479339;15
LUSC;Weibull AFT;4;1;penalizer=0.1;0.6208322563970018;8
LUSC;Weibull AFT;4;2;penalizer=0.1;0.5628361858190709;4
LUSC;Weibull AFT;4;3;penalizer=0.1;0.5939139559286464;9
LUSC;Weibull AFT;4;1;penalizer=1.0;0.6453864047557508;8
LUSC;Weibull AFT;4;2;penalizer=1.0;0.5875305623471883;4
LUSC;Weibull AFT;4;3;penalizer=1.0;0.6070304302203567;9
LUSC;Weibull AFT;4;1;penalizer=10.0;0.6492633755492375;8
LUSC;Weibull AFT;4;2;penalizer=10.0;0.5904645476772616;4
